,Area_Code,GP_Name,Area_Type,Time_Period,Deprivation_Score_IMD_2019,GP_Rank,Percentile_Rank,decile,report_period_end,practice_name,practice_code,region_code,Pat_Appts_Use,Pat_Presc_Use,Total_Use,patient_list_size,Pat_Presc_Use_per_1000,Pat_Appts_Use_per_1000
0,N82099,MERE LANE GROUP PRACTICE,GP,2019,68.7210150881197,1.0,1.0,10% most deprived,2021-09-30,MERE LANE GROUP PRACTICE,N82099,Y62,0.0,405.0,17826.0,8104.0,49.98,0.0
1,A81621,THORNTREE SURGERY,GP,2019,67.4074078834619,2.0,0.9998567335243553,10% most deprived,2021-09-30,THORNTREE SURGERY,A81621,Y63,0.0,76.0,339.0,2448.0,31.05,0.0
2,N82669,GREAT HOMER STREET MEDICAL CENTRE,GP,2019,65.2486047663262,3.0,0.9997134670487106,10% most deprived,2021-09-30,GREAT HOMER STREET MEDICAL CENTRE,N82669,Y62,41.0,320.0,5381.0,3255.0,98.31,12.6
3,N82101,KIRKDALE,GP,2019,65.1044330195511,4.0,0.9995702005730659,10% most deprived,2021-09-30,KIRKDALE MEDICAL CENTRE,N82101,Y62,21.0,180.0,3106.0,2631.0,68.42,7.98
4,N82651,STANLEY MEDICAL CENTRE,GP,2019,64.957029787234,5.0,0.9994269340974212,10% most deprived,2021-09-30,STANLEY MEDICAL CENTRE,N82651,Y62,0.0,172.0,4081.0,4399.0,39.1,0.0
5,N82095,ALBION SURGERY,GP,2019,63.8032762841091,6.0,0.9992836676217765,10% most deprived,2021-09-30,ALBION SURGERY,N82095,Y62,0.0,327.0,5785.0,4658.0,70.2,0.0
6,A81633,FOUNDATIONS -HARRIS STREET,GP,2019,62.9895157894737,7.0,0.9991404011461318,10% most deprived,2021-09-30,FOUNDATIONS -HARRIS STREET,A81633,Y63,0.0,0.0,23.0,1514.0,0.0,0.0
7,Y01948,OPEN DOOR,GP,2019,62.9031752963194,8.0,0.9989971346704871,10% most deprived,2021-09-30,OPEN DOOR,Y01948,Y63,15.0,22.0,141.0,2037.0,10.8,7.36
8,P81004,ELIZABETH STREET SURGERY,GP,2019,62.8967869318182,9.0,0.9988538681948425,10% most deprived,2021-09-30,ELIZABETH STREET SURGERY,P81004,Y62,0.0,85.0,2292.0,3125.0,27.2,0.0
9,N82011,PRIORY MEDICAL CENTRE,GP,2019,62.7596707947256,10.0,0.9987106017191977,10% most deprived,2021-09-30,PRIORY MEDICAL CENTRE,N82011,Y62,0.0,1305.0,14111.0,10828.0,120.52,0.0
